Crisis Name,Crisis Num.,Actors,Trig Date,Term Date,Summary Link,Summary URL
RUSSIAN CIVIL WAR I,1,RUS,May-18,4/1/20,RUSSIAN CIVIL WAR I,https://drive.google.com/open?id=1Ap2HCkw3jgM0Sfp2SEMMV-WDl-ggpIoS
COSTA RICAN COUP,2,NIC; COS,5/25/18,9/3/19,COSTA RICAN COUP,https://drive.google.com/open?id=1YD1Kmr87mWLCzJaYjlWVA1P3dyBiFT2K
RUSSIAN CIVIL WAR II,3,RUS,6/23/18,9/27/19,RUSSIAN CIVIL WAR II,https://drive.google.com/open?id=1OD2z5MMuVznLBlI0bOqSh9s2HdeMl_x4
BALTIC INDEPENDENCE,4,RUS; EST; LIT; LAT,11/18/18,8/11/20,BALTIC INDEPENDENCE,https://drive.google.com/open?id=12piC2lDpoekIrPj5n8gyO4Sh2X1cTN34
TESCHEN,5,CZE; POL,1/15/19,7/28/20,TESCHEN,https://drive.google.com/open?id=14EfbZeojOFKfOEpVzb4Tq_iS5TI3sFQr
HUNGARIAN WAR,6,HUN; CZE; RUM,3/20/19,8/3/19,HUNGARIAN WAR,https://drive.google.com/open?id=1SCPcxOkR2HgUSAZ4QZ4x2tZRwqLMYiIO
SMYRNA,7,GRC; ITA,Mar-19,7/29/19,SMYRNA,https://drive.google.com/open?id=1CulVV8echZBfM7SagVGKJvhYHYIzaE5E
THIRD AFGHAN WAR,8,AFG; UKG,4/15/19,8/8/19,THIRD AFGHAN WAR,https://drive.google.com/open?id=1hx_9asuaqhMuG6DOHidh2SLgWky7ib8J
FINNISH/RUSSIAN BDR.,9,RUS; FIN,4/20/19,10/14/20,FINNISH/RUSSIAN BDR.,https://drive.google.com/open?id=1DS-rd-joKrGhuAmsBJFaiSczjpEPyQh5
BESSARABIA,10,RUS; RUM,4/30/19,3/2/20,BESSARABIA,https://drive.google.com/open?id=1Z0ujhmjflargSsR8CZIq-6KM6QfK2RYt
CILICIAN WAR,11,TUR; FRN,Nov-19,10/20/21,CILICIAN WAR,https://drive.google.com/open?id=1eKTX-VZNa_3DUuSiVYlJubRPuFJmGSX1
RHENISH REBELLIONS,12,FRN; GMY,4/3/20,5/17/20,RHENISH REBELLIONS,https://drive.google.com/open?id=1Zla0-MNjwpxJ-wQRQch_FZgrv23VcNwc
POLISH/RUSSIAN WAR,13,RUS; POL,4/25/20,10/12/20,POLISH/RUSSIAN WAR,https://drive.google.com/open?id=1uqzrOMi7gx5Hjmv0vOKZYTPidDTsiDiB
PERSIAN BORDER,14,RUS; IRN,May-20,2/26/21,PERSIAN BORDER,https://drive.google.com/open?id=17L_umy1e8dhIUeyWYOFKnOiBfIvgJ1Yi
