actorname,trigger_date,termination_date,triggername,threatname,trigger,response,response_date,manage,severity,trigger_year,protracted_conflict,crisno,crisname,all
"North Korea","12 March 2009","4 August 2009","More than One State","United States of America","Non-violent military act","Non-violent military act","5 April 2009","Multiple, no violence","No violence",2009,"North Korea Nuclear",459,"N. KOREA NUCLEAR IV-SATELLITE LAUNCH","All"
"Russia","1 August 1961","28 October 1961","Nonstate Actor","United States of America","External change","Non-violent military act","13 August 1961","Non-violent military","No violence",1961,"East/West",185,"BERLIN WALL","All"
"Iran","13 June 2003","15 November 2004","Nonstate Actor","United States of America","External change","Verbal act","16 June 2003","Negotiation","No violence",2003,"Non-protracted conflict",442,"IRAN NUCLEAR I","All"
"Egypt","24 February 1955","15 October 1955","More than One State","United States of America","Political act","Political act","15 March 1955","Non-violent military","No violence",1955,"Non-protracted conflict",148,"BAGHDAD PACT","All"
"Panama","9 January 1964","12 January 1964","United States of America","United States of America","Internal verbal or physical challenge ","Political act","9 January 1964","Negotiation","No violence",1964,"Non-protracted conflict",206,"PANAMA FLAG","All"
"Russia","13 February 1948","25 February 1948","Czechoslovakia","United States of America","Political act","Political act","19 February 1948","Non-violent military","No violence",1948,"East/West",121,"COMMUNISM IN CZECH.","All"
"North Korea","15 July 2006","3 October 2007","Nonstate Actor","United States of America","Political act","Non-violent military act","9 October 2006","Negotiation","No violence",2006,"North Korea Nuclear",450,"N. KOREA NUCLEAR III","All"
"Russia","9 March 1946","9 May 1946","United States of America","United States of America","Political act","Political act","24 March 1946","Non-violent military","No violence",1946,"East/West",108,"AZERBAIJAN","All"
"Haiti","15 September 1994","15 October 1994","United States of America","United States of America","Other non-violent act","Multiple, violent military act","18 September 1994","Negotiation","No violence",1994,"Non-protracted conflict",411,"HAITI MIL. REGIME","All"
"Germany","6 June 1944","7 May 1945","More than One State","United States of America","Violent act","Violent military act","6 June 1944","Violence","Full-scale war",1944,"World War II",94,"D-DAY","All"
"Iraq","14 November 1997","23 February 1998","United States of America","United States of America","Non-violent military act","Political act","13 January 1998","Mediation","No violence",1997,"Iraq Regime",422,"UNSCOM I","All"
"Guatemala","12 December 1953","29 June 1954","United States of America","United States of America","Political act","Non-violent military act",". January 1954","Non-violent military","No violence",1953,"Non-protracted conflict",144,"GUATEMALA","All"
"North Korea","2 March 2016","30 November 2016","Nonstate Actor","United States of America","Economic act","Non-violent military act","3 March 2016","Non-violent military","No violence",2016,"North Korea Nuclear",477,"NORTH KOREA NUCLEAR VI","All"
"North Korea","1 March 1993","21 October 1994","Nonstate Actor","United States of America","Other non-violent act","Political act","12 March 1993","Negotiation","No violence",1993,"North Korea Nuclear",408,"N. KOREA NUCLEAR I","All"
"Cuba","15 April 1961","19 April 1961","Nonstate Actor","United States of America","Violent act","Non-violent military act","17 April 1961","Violence","Serious clashes",1961,"East/West",181,"BAY OF PIGS","All"
"North Korea","19 August 1976","16 September 1976","United States of America","United States of America","Non-violent military act","Non-violent military act","19 August 1976","Multiple, no violence","No violence",1976,"Korea",274,"POPLAR TREE","All"
"Russia","15 March 1979","27 December 1979","Nonstate Actor","United States of America","Indirect violent act","Violent military act","26 November 1979","Violence","Serious clashes",1979,"East/West",303,"AFGHANISTAN INVASION","All"
"Iran","18 June 2019","8 January 2020","United States of America","United States of America","Non-violent military act","Violent military act","20 June 2019","Multiple, violence","Minor clashes",2019,"Non-protracted conflict",495,"SOLEIMANI ASSASSINATION","All"
"Russia","8 April 2018","14 April 2018","United States of America","United States of America","Verbal act","Verbal act","9 April 2018","Multiple, no violence","No violence",2018,"Non-protracted conflict",489,"SYRIA CHEMICAL WEAPONS III","All"
"Iraq","18 August 1992","8 September 1992","More than One State","United States of America","Political act","Verbal act","26 August 1992","Negotiation","No violence",1992,"Iraq Regime",406,"IRAQ NO-FLY ZONE","All"
"Cambodia","13 May 1975","15 May 1975","United States of America","United States of America","Political act","Multiple, violent military act","14 May 1975","Multiple, violence","Serious clashes",1975,"Indochina",259,"MAYAGUEZ","All"
"Russia","15 August 1975","24 February 1976","Nonstate Actor","United States of America","External change","Non-violent military act","31 August 1975","Non-violent military","No violence",1975,"East/West",260,"WAR IN ANGOLA","All"
"Libya","17 March 2011","20 October 2011","Nonstate Actor","United States of America","Non-violent military act","Verbal act","19 March 2011","Violence","Minor clashes",2011,"Non-protracted conflict",464,"LIBYAN CIVILWAR","All"
"Libya","24 March 1986","21 April 1986","United States of America","United States of America","Non-violent military act","Multiple, violent military act","24 March 1986","Violence","Minor clashes",1986,"Non-protracted conflict",363,"GULF OF SYRTE II","All"
"Iran","11 January 2006","4 December 2007","United States of America","United States of America","Verbal act","Verbal act","13 January 2006","Negotiation","No violence",2006,"Non-protracted conflict",448,"IRAN NUCLEAR II","All"
"Japan","9 January 1945","3 March 1945","United States of America","United States of America","Violent act","Violent military act","9 January 1945","Violence","Full-scale war",1945,"World War II",99,"LUZON","All"
"Nicaragua","7 November 1984","12 November 1984","United States of America","United States of America","Non-violent military act","Political act","9 November 1984","Negotiation","No violence",1984,"East/West",354,"NICARAGUA MIG-21S","All"
"Russia","22 October 1962","20 November 1962","United States of America","United States of America","Non-violent military act","Political act","26 October 1962","Non-violent military","No violence",1962,"East/West",196,"CUBAN MISSILES","All"
"Vietnam","30 July 1964","15 August 1964","Republic of Vietnam","United States of America","Violent act","Violent military act","5 August 1964","Multiple, violence","Minor clashes",1964,"Indochina",210,"GULF OF TONKIN","All"
"Libya","4 January 1989","12 January 1989","United States of America","United States of America","Violent act","Verbal act","4 January 1989","Negotiation","No violence",1989,"Non-protracted conflict",386,"LIBYAN JETS","All"
"Afghanistan","11 September 2001","7 December 2001","Nonstate Actor","United States of America","Violent act","Multiple, violent military act","12 September 2001","Violence","Full-scale war",2001,"Non-protracted conflict",434,"AFGHANISTAN/US","All"
"Afghanistan","7 August 1998","20 August 1998","Nonstate Actor","United States of America","Violent act","Verbal act","19 August 1998","Negotiation","No violence",1998,"Non-protracted conflict",427,"US EMBASSY BOMBINGS","All"
"China","22 May 1953","27 July 1953","United States of America","United States of America","Other non-violent act","Political act","8 June 1953","Multiple, violence","Serious clashes",1953,"East/West",140,"KOREAN WAR III","All"
"Syria","24 August 2013","21 September 2013","United States of America","United States of America","Non-violent military act","Political act","25 August 2013","Negotiation","No violence",2013,"Non-protracted conflict",470,"SYRIA CHEMICAL WEAPONS","All"
"Iraq","9 November 1998","20 December 1998","More than One State","United States of America","Non-violent military act","Political act","14 November 1998","Multiple, no violence","No violence",1998,"Iraq Regime",429,"UNSCOM II","All"
"Russia","17 June 1953","11 July 1953","Nonstate Actor","United States of America","Indirect violent act","Violent military act","17 June 1953","Violence","Minor clashes",1953,"Non-protracted conflict",141,"E. GERMAN UPRISING","All"
"China","1 August 1954","23 April 1955","More than One State","United States of America","Political act","Violent military act","3 September 1954","Multiple, violence","Serious clashes",1954,"Taiwan Strait",146,"TAIWAN STRAIT I","All"
"North Korea","7 March 2013","14 August 2013","Nonstate Actor","United States of America","Economic act","Political act","11 March 2013","Multiple, no violence","No violence",2013,"North Korea Nuclear",469,"N. KOREA NUCLEAR V","All"
"North Korea","3 October 2002","6 January 2004","United States of America","United States of America","Verbal act","Verbal act","5 October 2002","Negotiation","No violence",2002,"North Korea Nuclear",441,"N. KOREA NUCLEAR II","All"
"Yugoslavia","2 May 1945","11 June 1945","More than One State","United States of America","Non-violent military act","Political act","19 May 1945","Negotiation","No violence",1945,"Italy/Albania/Yugoslavia",104,"TRIESTE I","All"
"Russia","31 December 1958","15 September 1959","More than One State","United States of America","Political act","Political act","10 January 1959","Negotiation","No violence",1958,"East/West",168,"BERLIN DEADLINE","All"
"China","27 June 1950",". July 1950","United States of America","United States of America","Non-violent military act","Political act","28 June 1950","Non-violent military","No violence",1950,"Taiwan Strait",132,"KOREAN WAR I","All"
"Russia","10 February 1947","1 June 1947","Hungary","United States of America","External change","Non-violent military act","26 February 1947","Non-violent military","No violence",1947,"East/West",113,"COMMUNISM IN HUNGARY","All"
"North Korea","5 August 2017","12 June 2018","Nonstate Actor","United States of America","Non-violent military act","Verbal act","7 August 2017","Multiple, no violence","Minor clashes",2017,"North Korea Nuclear",487,"NORTH KOREA NUCLEAR VII","All"
"Iraq","12 September 2002","1 May 2003","United States of America","United States of America","Verbal act","Political act","16 September 2002","Multiple, violence","Full-scale war",2002,"Iraq Regime",440,"IRAQ REGIME CHANGE","All"
"Libya","14 July 1977","10 September 1977","Egypt","United States of America","Violent act","Violent military act","19 July 1977","Multiple, violence","Serious clashes",1977,"Non-protracted conflict",281,"EGYPT/LIBYA CLASHES","All"
"Indonesia","21 February 1958","20 May 1958","Nonstate Actor","United States of America","Non-violent military act","Violent military act","22 February 1958","Violence","Serious clashes",1958,"Indonesia",164,"ABORT. COUP INDONESIA","All"
"Venezuela","23 January 2019","10 May 2019","United States of America","United States of America","Political act","Other non-violent act","6 February 2019","Multiple, no violence","No violence",2019,"Non-protracted conflict",493,"VENEZUELAN ELECTION","All"
"Russia","7 April 2017","24 April 2017","United States of America","United States of America","Indirect violent act","Verbal act","7 April 2017","Multiple, no violence","No violence",2017,"Non-protracted conflict",486,"SYRIA CHEMICAL WEAPONS II","All"
"Russia","7 June 1948","12 May 1949","More than One State","United States of America","Economic act","Economic act","24 June 1948","Multiple, no violence","No violence",1948,"East/West",123,"BERLIN BLOCKADE","All"
"Yugoslavia","24 March 1999","10 June 1999","More than One State","United States of America","Violent act","Non-violent military act","24 March 1999","Multiple, violence","Serious clashes",1999,"Yugoslavia",430,"KOSOVO","All"
"China","22 April 1962","27 June 1962","Taiwan","United States of America","Political act","Non-violent military act","10 June 1962","Multiple, no violence","No violence",1962,"Taiwan Strait",192,"TAIWAN STRAIT III","All"
"Syria","7 September 1957","29 October 1957","United States of America","United States of America","Political act","Multiple, non-violent military act","8 September 1957","Multiple, no violence","No violence",1957,"Non-protracted conflict",159,"SYRIA/TURKEY CONFRNT.","All"
"Libya","17 February 1983","22 February 1983","United States of America","United States of America","Non-violent military act","Non-violent military act","18 February 1983","Non-violent military","No violence",1983,"Non-protracted conflict",340,"LIBYA THREAT/SUDAN","All"
"Panama","20 December 1989","3 January 1990","United States of America","United States of America","Violent act","Violent military act","20 December 1989","Multiple, violence","Serious clashes",1989,"Non-protracted conflict",391,"INVASION OF PANAMA","All"
"North Korea","30 September 1950","10 July 1951","South Korea","United States of America","Violent act","Political act","1 October 1950","Violence","Full-scale war",1950,"Korea",133,"KOREAN WAR II","All"
"Japan","6 August 1945","2 September 1945","United States of America","United States of America","Violent act","Political act","9 August 1945","Negotiation","No violence",1945,"World War II",107,"HIROSHIMA-NAGASAKI","All"
"Japan","19 February 1945","16 March 1945","United States of America","United States of America","Violent act","Violent military act","8 March 1945","Violence","Full-scale war",1945,"World War II",101,"IWO JIMA","All"
"North Korea","25 January 1968","23 December 1968","United States of America","United States of America","Non-violent military act","Non-violent military act","25 January 1968","Multiple, no violence","No violence",1968,"Korea",224,"PUEBLO","All"
"Japan","1 April 1945","21 June 1945","United States of America","United States of America","Violent act","Political act","7 April 1945","Violence","Full-scale war",1945,"World War II",103,"OKINAWA","All"
"Germany","8 December 1941","15 February 1942","United States of America","United States of America","Indirect violent act","Non-violent military act","11 December 1941","Non-violent military","No violence",1941,"World War II",88,"PEARL HARBOR","All"
"Japan","26 November 1941","15 February 1942","United States of America","United States of America","Political act","Violent military act","1 December 1941","Violence","Full-scale war",1941,"World War II",88,"PEARL HARBOR","All"
"Grenada","21 October 1983","28 October 1983","United States of America","United States of America","Non-violent military act","Political act","23 October 1983","Multiple, violence","Serious clashes",1983,"Non-protracted conflict",343,"INVASION OF GRENADA","All"
"China","1 October 1950","10 July 1951","More than One State","United States of America","Political act","Violent military act","19 October 1950","Violence","Full-scale war",1950,"East/West",133,"KOREAN WAR II","All"
"Libya","12 August 1981","1 September 1981","United States of America","United States of America","Other non-violent act","Non-violent military act","12 August 1981","Non-violent military","No violence",1981,"Non-protracted conflict",330,"GULF OF SYRTE I","All"
"Russia","24 November 1964","17 December 1964","More than One State","United States of America","Indirect violent act","Political act","26 November 1964","Multiple, no violence","No violence",1964,"Non-protracted conflict",211,"CONGO II","All"
"Russia","7 October 1950","26 December 1950","United States of America","United States of America","Indirect violent act","Non-violent military act","9 October 1950","Non-violent military","No violence",1950,"East/West",133,"KOREAN WAR II","All"
"China","27 August 1958","30 September 1958","United States of America","United States of America","Non-violent military act","Political act","4 September 1958","Multiple, violence","Serious clashes",1958,"Taiwan Strait",166,"TAIWAN STRAIT II","All"
"Russia","3 July 1947","11 July 1947","United States of America","United States of America","Political act","Political act","9 July 1947","Non-violent military","No violence",1947,"East/West",115,"MARSHALL PLAN","All"
"Sudan","20 August 1998","20 August 1998","United States of America","United States of America","Violent act","Verbal act","20 August 1998","Negotiation","No violence",1998,"Non-protracted conflict",427,"US EMBASSY BOMBINGS","All"
"Russia","30 June 1946","19 January 1947","Poland","United States of America","External change","Political act","28 August 1946","Non-military pressure","No violence",1946,"Poland/Russia",110,"COMMUNISM IN POLAND","All"
"Libya","18 March 1984",".  1984","United States of America","United States of America","External change","Political act","22 March 1984","Negotiation","No violence",1984,"Non-protracted conflict",350,"OMDURMAN BOMBING","All"
"Iraq","29 November 1990","12 April 1991","More than One State","United States of America","Political act","Violent military act","17 January 1991","Multiple, violence","Full-scale war",1990,"Iraq/Kuwait",393,"GULF WAR","All"
"China","9 January 2021","15 November 2021","United States of America","United States of America","Political act","Verbal act","11 January 2021","Multiple, no violence","No violence",2021,"Taiwan Strait",507,"US-TAIWAN DIPLOMATIC VISITS II","All"
"German Democratic Republic","31 December 1958","15 September 1959","More than One State","United States of America","Political act","Political act","7 January 1959","Negotiation","No violence",1958,"East/West",168,"BERLIN DEADLINE","All"
