crisno,crisname,trigger_year,termination_year,pcid,trigger,trigger_date,termination_date,gravity,severity,violence,outcome,protracted_conflict,mediation
1,"RUSSIAN CIVIL WAR I",1918,1920,27,"Violent act",". May 1918","1 April 1920","Political threat","Serious clashes","Serious clashes","Unilateral act","East/West","Mediation offered"
2,"COSTA RICAN COUP",1918,1919,6,"Non-violent military act","25 May 1918","3 September 1919","Political threat","No violence","No violence","Unilateral act","Costa Rica/Nicaragua","No mediation"
3,"RUSSIAN CIVIL WAR II",1918,1919,27,"Non-violent military act","23 June 1918","27 September 1919","Political threat","Serious clashes","Serious clashes","Unilateral act","East/West","Mediation offered"
4,"BALTIC INDEPENDENCE",1918,1920,43,"Internal verbal or physical challenge ","18 November 1918","11 August 1920","Threat to existence","Serious clashes","Serious clashes","Imposed agreement","Non-protracted conflict","No mediation"
5,"TESCHEN",1919,1920,43,"Political act","15 January 1919","28 July 1920","Territorial threat","Serious clashes","Serious clashes","Imposed agreement","Non-protracted conflict","No mediation"
6,"HUNGARIAN WAR",1919,1919,43,"Political act","20 March 1919","3 August 1919","Threat to existence","Full-scale war","Full-scale war","Unilateral act","Non-protracted conflict","No mediation"
7,"SMYRNA",1919,1919,44,"Non-violent military act","1 March 1919","29 July 1919","Territorial threat","Minor clashes","Minor clashes","Formal agreement","Non-protracted conflict","No mediation"
8,"THIRD AFGHAN WAR",1919,1919,42,"Political act","15 April 1919","8 August 1919","Threat to influence","Full-scale war","Full-scale war","Formal agreement","Non-protracted conflict","No mediation"
9,"FINNISH/RUSSIAN BDR.",1919,1920,17,"Violent act","20 April 1919","14 October 1920","Territorial threat","Serious clashes","Serious clashes","Formal agreement","Finland/Russia","No mediation"
10,"BESSARABIA",1919,1920,43,"Political act","30 April 1919","2 March 1920","Territorial threat","Serious clashes","Serious clashes","Formal agreement","Non-protracted conflict","No mediation"
11,"CILICIAN WAR",1919,1921,44,"Non-violent military act",". November 1919","20 October 1921","Territorial threat","Full-scale war","Full-scale war","Formal agreement","Non-protracted conflict","No mediation"
12,"RHENISH REBELLIONS",1920,1920,18,"Indirect violent act","3 April 1920","17 May 1920","Political threat","No violence","Minor clashes","Unilateral act","France/Germany","Mediation requested"
13,"POLISH/RUSSIAN WAR",1920,1920,21,"Violent act","25 April 1920","12 October 1920","Threat to existence","Full-scale war","Full-scale war","Formal agreement","Poland/Russia","Mediation offered"
14,"PERSIAN BORDER",1920,1921,29,"Non-violent military act","1 May 1920","26 February 1921","Territorial threat","Serious clashes","Minor clashes","Formal agreement","Iran/USSR","No mediation"
15,"AALAND ISLANDS",1920,1921,43,"Non-violent military act","5 June 1920","20 October 1921","Limited military damage","No violence","No violence","Formal agreement","Non-protracted conflict","Mediation occurred"
16,"GREECE/TURKEY WAR I",1920,1920,28,"Violent act","22 June 1920","9 July 1920","Territorial threat","Minor clashes","Minor clashes","Unilateral act","Greece/Turkey","No mediation"
17,"VILNA I",1920,1920,20,"Political act","12 July 1920","29 November 1920","Territorial threat","Full-scale war","Full-scale war","Formal agreement","Lithuania/Poland","Mediation occurred"
18,"GREECE/TURKEY WAR II",1921,1921,28,"Violent act","6 January 1921","12 September 1921","Threat to existence","Full-scale war","Full-scale war","Unilateral act","Greece/Turkey","No mediation"
19,"COSTA RICA/PANAMA BDR",1921,1921,41,"Non-violent military act","21 February 1921","24 August 1921","Territorial threat","Minor clashes","Minor clashes","Unilateral act","Non-protracted conflict","No mediation"
20,"GERMAN REPARATIONS",1921,1921,18,"Political act","3 March 1921","11 May 1921","Political threat","No violence","No violence","Unilateral act","France/Germany","No mediation"
21,"KARL'S RETURN HUNGARY",1921,1921,43,"Other non-violent act","27 March 1921","15 November 1921","Political threat","No violence","No violence","Unilateral act","Non-protracted conflict","No mediation"
22,"AUSTRIAN SEPARATISTS",1921,1921,43,"Political act","11 May 1921","21 June 1921","Territorial threat","No violence","No violence","Unilateral act","Non-protracted conflict","No mediation"
